date,event,description,type,hidden
1347,Black Death kills 1/3 of Europe,,catastrophe,
1485,English sweating sickness,,catastrophe,
1572,St. Bartholomew's Day massacre,,catastrophe,
1666,Great Fire of London,,catastrophe,
1793,French Reign of Terror,,catastrophe,
1845,Great Famine of Ireland,,catastrophe,
1846,Third cholera pandemic,,catastrophe,
1883,Krakatoa erupts,,catastrophe,
1889,1889-1890 flu pandemic,,catastrophe,
1918,Spanish flu,,catastrophe,
1933,Holodomor,,catastrophe,
1941,The Holocaust,,catastrophe,
1320,Divine Comedy (Dante),,culture,
1484,The Birth of Venus (Botticelli),,culture,
1495,The Last Supper (da Vinci),,culture,
1512,Sistine Chapel (Michelangelo),,culture,
1599,Hamlet (Shakespeare),,culture,
1667,Paradise Lost (Milton),,culture,
1751,Encyclopédie,,culture,TRUE
1759,Candide (Voltaire),,culture,
1760,Industrial Revolution begins,,culture,TRUE
1786,The Marriage of Figaro (Mozart),,culture,
1790,Faust (Goethe),,culture,
1805,Eroica (Beethoven),,culture,
1818,Ozymandias (Shelley),,culture,
1861,Great Expectations (Dickens),,culture,TRUE
1865,Tristan und Isolde (Wagner),,culture,
1881,The Portrait of a Lady (James),,culture,
1889,The Starry Night (van Gogh),,culture,
1922,Ulysses (Joyce),,culture,
1937,Guernica (Picasso),,culture,
1948,"No. 5, 1948 (Pollock)",,culture,
1962,Campbell's Soup Cans (Warhol),,culture,
754,Papal States established,,diplomacy,
843,Treaty of Verdun splits Francia,,diplomacy,
1215,Magna Carta,,diplomacy,
1453,Treaty of Picquiny ends Hundred Years' War,,diplomacy,
1477,Kingdom of Burgundy dissolves,,diplomacy,
1494,Treaty of Tordesillas sets colonial boundaries,,diplomacy,
1555,Peace of Augsburg legalizes German Lutheranism,,diplomacy,
1598,Edict of Nantes legalizes French Lutheranism,,diplomacy,
1620,Kingdom of Navarre dissolves,,diplomacy,
1648,Peace of Westphalia ends Thirty Years' War,,diplomacy,
1701,Kingdom of Prussia established,,diplomacy,
1715,Unification of Spanish kingdoms,,diplomacy,
1783,Treaty of Paris ends American Revolution,,diplomacy,
1793,First French Republic established,,diplomacy,
1806,Holy Roman Empire dissolves,,diplomacy,
1815,Congress of Vienna reshapes Europe,,diplomacy,
1848,Workers' revolutions sweep Europe,,diplomacy,
1871,Germany and Italy unified,,diplomacy,
1920,Treaty of Versailles ends World War I,,diplomacy,
1931,Second Spanish Republic established,,diplomacy,
1947,Paris Peace Treaties conclude World War II,,diplomacy,
1066,Normans conquest of England,,military,
1240,Kievan Rus' falls to the Golden Horde,,military,
1296,First Scottish War of Independence,,military,
1337,Hundred Years' War begins,,military,
1429,Joan of Arc breaks the seige of Orleans,,military,
1453,Fall of Constantinople,,military,
1455,Wars of the Roses begins,,military,TRUE
1492,Moors surrender in Granada,,military,
1562,French Wars of Religion begin,,military,
1588,Spanish Armada destroyed by England,,military,
1618,30 Years' War begins,,military,
1642,English Civil War,,military,
1756,Seven Years' War begins,,military,
1775,American Revolution,,military,
1793,French Revolution,,military,
1805,Napoleon defeats coalition at Austerlitz,Holy Roman Empire dissolved,military,
1815,Napoleon defeated by coalition at Waterloo,Napoleon defeated,military,
1853,Crimean War,,military,
1870,Franco-Prussian War,,military,
1914,World War I begins,,military,
1936,Spanish Civil War begins,,military,TRUE
1939,World War II begins,,military,
1975,Cambodian genocide,,military,TRUE
1265,Summa Theologiae (Aquinas),,philosophy,TRUE
1637,Discourse on Method (Descartes),,philosophy,
1651,Leviathan (Hobbes),,philosophy,
1677,Ethics (Spinoza),,philosophy,
1689,Two Treatises of Government (Locke),,philosophy,
1739,A Treatise of Human Nature (Hume),,philosophy,
1762,The Social Contract (Rousseau),,philosophy,
1781,Critique of Pure Reason (Kant),,philosophy,
1791,A Vindication of the Rights of Woman (Wollstonecraft),,philosophy,
1807,Phenomenology of Spirit (Hegel),,philosophy,
1818,The World as Will and Representation (Schopenhauer),,philosophy,
1843,Either/Or (Kierkegaard),,philosophy,TRUE
1848,The Communist Manifesto (Marx),,philosophy,
1886,Beyond Good and Evil (Nietzsche),,philosophy,
1890,The Principles of Psychology (James),,philosophy,TRUE
1903,The Principles of Mathematics (Russell),,philosophy,
1927,Being and Time (Heidegger),,philosophy,
1953,Philosophical Investigations (Wittgenstein),,philosophy,
1960,Madness and Civilization (Foucault),,philosophy,
800,Charlemagne crowned Emperor of the Romans,,religion,
863,Photian Schism,,religion,
910,Cluniac Reforms,,religion,
975,Christianization of the Danes,,religion,
989,Christianization of the Rus',,religion,
1050,Gregorian Reforms,,religion,TRUE
1054,East-West Schism,,religion,
1076,Investiture Controversy,,religion,
1099,First Crusade,,religion,
1145,Second Crusade,,religion,
1184,Episcopal Inquisition,,religion,TRUE
1187,Third Crusade,,religion,
1202,Fourth Crusade,,religion,
1378,Western Schism,,religion,
1415,Jan Hus executed,,religion,
1478,Spanish Inquisition begins,,religion,
1517,Luther publishes Ninety-Five Theses,,religion,
1534,Church of England founded,,religion,
1536,Institutes of the Christian Religion (Calvin),,religion,TRUE
1633,Trial of Galileo,,religion,
1662,Puritans ejected from England,,religion,
1686,Russian Orthodox Church founded,,religion,
1543,Copernicus proposes heliocentrism,,science,
1620,Francis Bacon describes the scientific method,,science,
1665,First peer-reviewed journal,,science,
1675,Leibniz or Newton create calculus,,science,
1687,Newton describes gravity and laws of motion,,science,
1752,Ben Franklin discovers electricity,,science,
1776,Adam Smith creates economics,,science,
1854,Lord Kelvin creates thermodynamics,,science,
1859,Charles Darwin writes about evolution,,science,
1869,Mendeleev creates the periodic table,,science,
1899,Freud establishes psychoanalysis,,science,
1905,Einstein describes special relativity,,science,
1917,Rutherford confirms the atomic structure,,science,
1928,Fleming creates penicillin,,science,
1942,Manhattan project develops the atom bomb,,science,
1948,Feynman creates quantum electrodynamics,,science,
1953,Watson and Crick describe shape of DNA,,science,