name,image,house,houseImage,start,end,endReason,religion,JA_events,JA_wars,JA_relationships
Gorm,img/denmark/gorm.jpg,Gorm,,936,958,,Norse paganism,"Son of the semi-legendary Danish king Harthacnut|
Completed the Danevirke, a wall separating the southern Saxons",,
Harald Bluetooth,img/denmark/harald_bluetooth.jpg,Gorm,,958,986,,,"First ruler of a united Denmark: Jutland and Zealand|
Introduced Christianity to Denmark",,
Sweyn Forkbeard,img/denmark/sweyn_forkbeard.jpg,Denmark,,986,1014,,,,,
Harald II,img/denmark/harald_ii.jpg,,,1014,1018,,,,,
Cnut the Great,img/denmark/cnut_the_great.jpg,Denmark,,1016,1035,,,,,
Magnus,img/denmark/magnus.jpg,St. Olaf,,1035,1047,,,,,
Sweyn II,img/denmark/sweyn_ii.jpeg,Estridsen,img/houses/estridsen.png,1047,1076,,,,,
Harald III,img/denmark/harald_iii.png,Estridsen,img/houses/estridsen.png,1076,1080,,,,,
Canute IV,img/denmark/canute_iv.jpg,Estridsen,img/houses/estridsen.png,1080,1086,,,,,
Olaf I,img/denmark/olaf_i.jpg,Estridsen,img/houses/estridsen.png,1086,1095,,,,,
Eric I,img/denmark/eric_i.png,Estridsen,img/houses/estridsen.png,1095,1103,,,,,
Neils,img/denmark/niels.jpg,Estridsen,img/houses/estridsen.png,1104,1134,,,,,
Eric II,img/denmark/eric_ii.JPG,Estridsen,img/houses/estridsen.png,1134,1137,,,,,
Eric III,img/denmark/eric_iii.jpg,Estridsen,img/houses/estridsen.png,1137,1146,,,,,
Sweyn III,img/denmark/sweyn_iii.jpg,Estridsen,img/houses/estridsen.png,1146,1157,,,,,
Valdemar I,img/denmark/valdemar_i.jpg,Estridsen,img/houses/estridsen.png,1154,1182,,,,,
Canute VI,img/denmark/canute_vi.jpg,Estridsen,img/houses/estridsen.png,1182,1202,,,,,
Valdemar II,img/denmark/valdemar_ii.jpg,Estridsen,img/houses/estridsen.png,1202,1241,,,,,
Eric IV,img/denmark/eric_iv.jpg,Estridsen,img/houses/estridsen.png,1232,1250,,,,,
Abel,img/denmark/abel.jpeg,Estridsen,img/houses/estridsen.png,1250,1252,,,,,
Christopher I,img/denmark/christopher_i.JPG,Estridsen,img/houses/estridsen.png,1252,1259,,,,,
Eric V,img/denmark/eric_v.jpg,Estridsen,img/houses/estridsen.png,1259,1286,,,,,
Eric VI,img/denmark/eric_vi.jpg,Estridsen,img/houses/estridsen.png,1286,1319,,,,,
Christopher II,img/denmark/christopher_ii.JPG,Estridsen,img/houses/estridsen.png,1320,1326,,,,,
Valdemar III,img/denmark/valdemar_iii.jpg,Estridsen,img/houses/estridsen.png,1326,1330,,,,,
Christopher II (2nd),img/denmark/christopher_ii.JPG,Estridsen,img/houses/estridsen.png,1329,1332,,,,,
Valdemar IV,img/denmark/valdemar_iv.jpg,Estridsen,img/houses/estridsen.png,1340,1375,,,,,
Olaf II and IV,img/denmark/olaf_ii.jpg,Estridsen,img/houses/estridsen.png,1376,1387,,,,,
Margaret I,img/denmark/margaret_i.png,Estridsen,img/houses/estridsen.png,1387,1412,,,,,
Eric VII,img/denmark/eric_vii.jpg,Griffins,img/houses/griffin.png,1396,1439,,,,,
Christopher III,img/denmark/christopher_iii.jpg,Palantinate-Neumarkt,,1440,1448,,,,,
Christian I,img/denmark/christian_i.jpg,Oldenburg,img/houses/oldenburg.png,1448,1481,,,,,
John,img/denmark/john.jpg,Oldenburg,img/houses/oldenburg.png,1481,1513,,,,,
Christian II,img/denmark/christian_ii.jpg,Oldenburg,img/houses/oldenburg.png,1513,1523,,,,,
Frederick I,img/denmark/frederick_i.jpg,Oldenburg,img/houses/oldenburg.png,1523,1533,,,,,
Christian III,img/denmark/christian_iii.jpg,Oldenburg,img/houses/oldenburg.png,1534,1559,,,,,
Frederick II,img/denmark/frederick_ii.jpg,Oldenburg,img/houses/oldenburg.png,1559,1588,,,,,
Christian IV,img/denmark/christian_iv.jpg,Oldenburg,img/houses/oldenburg.png,1588,1648,,,,,
Frederick III,img/denmark/frederick_iii.jpg,Oldenburg,img/houses/oldenburg.png,1648,1670,,,,,
Christian V,img/denmark/christian_v.jpg,Oldenburg,img/houses/oldenburg.png,1670,1699,,,,,
Frederick IV,img/denmark/frederick_iv.jpg,Oldenburg,img/houses/oldenburg.png,1699,1730,,,,,
Christian VI,img/denmark/christian_vi.jpg,Oldenburg,img/houses/oldenburg.png,1730,1746,,,,,
Frederick V,img/denmark/frederick_v.jpg,Oldenburg,img/houses/oldenburg.png,1746,1766,,,,,
Christian VII,img/denmark/christian_vii.jpg,Oldenburg,img/houses/oldenburg.png,1766,1808,,,,,
Frederick VI,img/denmark/frederick_vi.jpg,Oldenburg,img/houses/oldenburg.png,1808,1839,,,,,
Christian VIII,img/denmark/christian_viii.jpg,Oldenburg,img/houses/oldenburg.png,1839,1848,,,,,
Frederick VII,img/denmark/frederick_vii.jpg,Oldenburg,img/houses/oldenburg.png,1848,1863,,,,,
Christian IX,img/denmark/christian_ix.jpg,Glucksburg,img/houses/glucksburg.png,1863,1906,,,,,
Frederick VIII,img/denmark/frederick_viii.jpg,Glucksburg,img/houses/glucksburg.png,1906,1912,,,,,
Christian X,img/denmark/christian_x.jpg,Glucksburg,img/houses/glucksburg.png,1912,1947,,,,,
Frederick IX,img/denmark/frederick_ix.jpg,Glucksburg,img/houses/glucksburg.png,1947,1972,,,,,
Margrethe II,img/denmark/margrethe_ii.jpg,Glucksburg,img/houses/glucksburg.png,1972,2019,,,,,